house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,numBalconies,isNegotiable,priceSqFt,verificationDate,SecurityDeposit,Status,price_per_sqft,size_bucket,property_id
2 BHK Independent Floor ,540,Bindapur,Delhi,28.61527824,77.07889557,20000,INR,1.0,0.0,Unknown,,Posted a month ago,No Deposit,Furnished,37.03703703703704,Medium,125
1 BHK Independent Floor ,450,Alaknanda,Delhi,28.52850342,77.25166321,11000,INR,1.0,0.0,Unknown,,Posted a month ago,No Deposit,Semi-Furnished,24.444444444444443,Small,126
2 BHK Independent Floor ,500,Govindpuri Extension,Delhi,28.53482056,77.25739288,15000,INR,1.0,0.0,Unknown,,Posted a month ago,No Deposit,Furnished,30.0,Medium,127
1 BHK Independent Floor ,450,Dabri,Delhi,28.60906982,77.08935547,10000,INR,1.0,0.0,Unknown,,Posted a month ago,No Deposit,Semi-Furnished,22.22222222222222,Small,128
1 BHK Independent Floor ,450,Dabri,Delhi,28.60726929,77.08944702,9000,INR,1.0,0.0,Unknown,,Posted a month ago,No Deposit,Semi-Furnished,20.0,Small,129
3 BHK Independent Floor ,900,Dabri,Delhi,28.60993385,77.09203339,22000,INR,2.0,0.0,Unknown,,Posted a month ago,No Deposit,Semi-Furnished,24.444444444444443,Medium,130
2 BHK Independent Floor ,900,Dabri,Delhi,28.60726929,77.08944702,13000,INR,2.0,0.0,Unknown,,Posted a month ago,No Deposit,Unfurnished,14.444444444444445,Medium,131
2 BHK Independent Floor ,450,Dabri,Delhi,28.60993385,77.09203339,10500,INR,1.0,0.0,Unknown,,Posted a month ago,No Deposit,Semi-Furnished,23.333333333333332,Small,132
1 BHK Independent Floor ,360,Sitapuri,Delhi,28.61255646,77.08008575,8000,INR,1.0,0.0,Unknown,,Posted a month ago,No Deposit,Semi-Furnished,22.22222222222222,Small,133
2 BHK Independent Floor ,630,Dashrath Puri,Delhi,28.60668373,77.0828476,13000,INR,2.0,0.0,Unknown,,Posted a month ago,No Deposit,Semi-Furnished,20.634920634920636,Medium,134
2 BHK Independent Floor ,630,Dashrath Puri,Delhi,28.60668373,77.0828476,13000,INR,2.0,0.0,Unknown,,Posted a month ago,No Deposit,Semi-Furnished,20.634920634920636,Medium,135
3 BHK Independent Floor ,900,Dabri,Delhi,28.60993385,77.09203339,21000,INR,2.0,0.0,Unknown,,Posted a month ago,No Deposit,Semi-Furnished,23.333333333333332,Medium,136
2 BHK Independent Floor ,945,Janakpuri,Delhi,28.60982704,77.10020447,16000,INR,1.0,0.0,Unknown,,Posted a month ago,No Deposit,Unfurnished,16.93121693121693,Medium,137
1 BHK Independent Floor ,450,Bindapur,Delhi,28.60990334,77.07619476,9000,INR,1.0,0.0,Unknown,,Posted a month ago,No Deposit,Semi-Furnished,20.0,Small,138
3 BHK Independent Floor ,1350,Janakpuri,Delhi,28.62119293,77.09102631,35000,INR,3.0,0.0,Unknown,,Posted a month ago,No Deposit,Semi-Furnished,25.925925925925927,Large,139
2 BHK Independent Floor ,900,Dabri,Delhi,28.60726929,77.08944702,14000,INR,2.0,0.0,Unknown,,Posted a month ago,No Deposit,Unfurnished,15.555555555555555,Medium,140
1 BHK Independent Floor ,390,Dabri,Delhi,28.60993385,77.09203339,8000,INR,1.0,0.0,Unknown,,Posted a month ago,No Deposit,Unfurnished,20.512820512820515,Small,141
